building,room,seat_label,seat_id
理工馆,逸夫楼二楼,77,1985587076997943443
理工馆,逸夫楼二楼,80,1985587076997943444
理工馆,逸夫楼二楼,95,1985587076997943445
理工馆,逸夫楼二楼,111,1985587076997943446
理工馆,逸夫楼二楼,86,1985587076997943447
理工馆,逸夫楼二楼,104,1985587076997943448
理工馆,逸夫楼二楼,101,1985587076997943449
理工馆,逸夫楼二楼,93,1985587076997943450
理工馆,逸夫楼二楼,78,1985587076997943451
理工馆,逸夫楼二楼,186,1985593378516078592
理工馆,逸夫楼二楼,185,1985593378516078593
理工馆,逸夫楼二楼,184,1985593378516078594
理工馆,逸夫楼二楼,181,1985593378516078596
理工馆,逸夫楼二楼,182,1985593378516078597
理工馆,逸夫楼二楼,183,1985593378516078598
理工馆,逸夫楼二楼,180,1985593378516078600
理工馆,逸夫楼二楼,179,1985593378516078601
理工馆,逸夫楼二楼,178,1985593378516078602
理工馆,逸夫楼二楼,175,1985593378516078604
理工馆,逸夫楼二楼,176,1985593378516078605
理工馆,逸夫楼二楼,177,1985593378516078606
理工馆,逸夫楼二楼,174,1985593378516078608
理工馆,逸夫楼二楼,173,1985593378516078609
理工馆,逸夫楼二楼,172,1985593378516078610
理工馆,逸夫楼二楼,169,1985593378516078612
理工馆,逸夫楼二楼,170,1985593378516078613
理工馆,逸夫楼二楼,171,1985593378516078614
理工馆,逸夫楼二楼,168,1985593378516078616
理工馆,逸夫楼二楼,167,1985593378516078617
理工馆,逸夫楼二楼,166,1985593378516078618
理工馆,逸夫楼二楼,163,1985593378516078620
理工馆,逸夫楼二楼,164,1985593378516078621
理工馆,逸夫楼二楼,165,1985593378516078622
理工馆,逸夫楼二楼,162,1985593378516078624
理工馆,逸夫楼二楼,161,1985593378520272896
理工馆,逸夫楼二楼,160,1985593378520272897
理工馆,逸夫楼二楼,157,1985593378520272899
理工馆,逸夫楼二楼,158,1985593378520272900
理工馆,逸夫楼二楼,159,1985593378520272901
理工馆,逸夫楼二楼,198,1985593378520272903
理工馆,逸夫楼二楼,199,1985593378520272904
理工馆,逸夫楼二楼,200,1985593378520272905
理工馆,逸夫楼二楼,201,1985593378520272906
理工馆,逸夫楼二楼,202,1985593378520272907
